"","AMKE","MERL","PEFA","BLVU","TUVU","OSPR","NOGO","COHA","NOHA","SSHA","BAEA","BWHA","RLHA","RTHA","RSHA","GOEA"
"AMKE",1.00000000003,0.97041433313,0.927151543,0,0,0,0,0,0,0,0,0,0,0,0,0
"MERL",0.97041433313,1.00000000003,0.927151543,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEFA",0.927151543,0.927151543,1.00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLVU",0,0,0,1,0.9704143331,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417
"TUVU",0,0,0,0.9704143331,1,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417,0.2518012417
"OSPR",0,0,0,0.2518012417,0.2518012417,1,0.4096883378,0.4096883378,0.4096883378,0.4096883378,0.4096883378,0.4096883378,0.4096883378,0.4096883378,0.4096883378,0.4096883378
"NOGO",0,0,0,0.2518012417,0.2518012417,0.4096883378,1.00000000001,0.97041433311,0.92715154298,0.87659322746,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.48524967973
"COHA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.97041433311,1.00000000001,0.92715154298,0.87659322746,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.48524967973
"NOHA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.92715154298,0.92715154298,1.00000000001,0.87659322746,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.48524967973
"SSHA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.87659322746,0.87659322746,0.87659322746,0.99999999996,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.48524967973
"BAEA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.55832954736,0.55832954736,0.55832954736,0.55832954736,1.00000000006,0.82062605826,0.82062605826,0.82062605826,0.82062605826,0.48524967973
"BWHA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.82062605826,1.00000000004,0.92715154301,0.92715154301,0.87659322749,0.48524967973
"RLHA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.82062605826,0.92715154301,1.00000000004,0.97041433314,0.87659322749,0.48524967973
"RTHA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.82062605826,0.92715154301,0.97041433314,1.00000000004,0.87659322749,0.48524967973
"RSHA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.55832954736,0.55832954736,0.55832954736,0.55832954736,0.82062605826,0.87659322749,0.87659322749,0.87659322749,0.99999999999,0.48524967973
"GOEA",0,0,0,0.2518012417,0.2518012417,0.4096883378,0.48524967973,0.48524967973,0.48524967973,0.48524967973,0.48524967973,0.48524967973,0.48524967973,0.48524967973,0.48524967973,1.00000000003
